type,repo,line_of_code
api,https://github.com/Vchitect/VBench,https://github.com/Vchitect/VBench/blob/d2c30cab5497472af4798bc86f6eb47659381cb4/VBench-2.0/vbench2/third_party/ViTDetector/third_party/YOLO-World/mmyolo/tools/analysis_tools/vis_scheduler.py#L106
cli,https://github.com/EleutherAI/lm-evaluation-harness,https://github.com/EleutherAI/lm-evaluation-harness/blob/9f152e0b89e777a17a21e9207da2ae4c1ea8beec/lm_eval/tasks/basque_bench/flores_eu/create_yamls_flores_eu.py#L332
cli,https://github.com/google-deepmind/meltingpot,https://github.com/google-deepmind/meltingpot/blob/f280a35a4ffe5a7613b5c4a062a66fd18c64876c/meltingpot/configs/scenarios/scenario_configs_test.py#L126
api,https://github.com/mlcommons/inference,https://github.com/mlcommons/inference/blob/cc7d6d8eabc5cc60f8b2e540f25f1edd2a9f6cd3/tools/upscale_coco/coco.py#L496
api,https://github.com/stanford-crfm/helm,https://github.com/stanford-crfm/helm/blob/68b6aa9a01598aa0d371507c4c7299260eb9c4e6/src/helm/benchmark/run_specs/safety_run_specs.py#L156
api,https://github.com/HumanCompatibleAI/overcooked_ai,https://github.com/HumanCompatibleAI/overcooked_ai/blob/739950a079cdaed5a44fcc662efc40244c205d06/src/overcooked_demo/server/app.py#L587
api,https://github.com/evidentlyai/evidently,https://github.com/evidentlyai/evidently/blob/609cc2afbfa28c6b37be725b9f1f61bd18136990/src/evidently/ui/workspace.py#L248
cli,https://github.com/simpler-env/SimplerEnv,https://github.com/simpler-env/SimplerEnv/blob/4ab7178e83e84ee06894034ec6dbf9e7aad1e882/simpler_env/utils/debug/octo_inference_real_video.py#L134
api,https://github.com/beir-cellar/beir,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/evaluation.py#L125
api,https://github.com/Vchitect/VBench,https://github.com/Vchitect/VBench/blob/d2c30cab5497472af4798bc86f6eb47659381cb4/VBench-2.0/vbench2/third_party/LLaVA_NeXT/scripts/archived/convert_sqa_to_llava.py#L51
api,https://github.com/openai/evals,https://github.com/openai/evals/blob/cdb8ce9547e68b8e5e4520b6a162294c06865c0f/evals/eval.py#L90
api,https://github.com/EleutherAI/lm-evaluation-harness,https://github.com/EleutherAI/lm-evaluation-harness/blob/9f152e0b89e777a17a21e9207da2ae4c1ea8beec/lm_eval/tasks/darija_bench/darija_summarization/utils.py#L48
cli,https://github.com/snap-stanford/ogb,https://github.com/snap-stanford/ogb/blob/61e9784ca76edeaa6e259ba0f836099608ff0586/ogb/graphproppred/dataset.py#L166
api,https://github.com/EvolvingLMMs-Lab/lmms-eval,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/tasks/mmbench/cc_utils.py#L92
api,https://github.com/confident-ai/deepeval,https://github.com/confident-ai/deepeval/blob/f296dc03b76b5fb5cc124d2dbb10367af0a5777d/deepeval/plugins/plugin.py#L40
cli,https://github.com/UKGovernmentBEIS/inspect_ai,https://github.com/UKGovernmentBEIS/inspect_ai/blob/70fb9f6885db89779cd637619bbba614e7b0271a/src/inspect_ai/_cli/main.py#L59
api,https://github.com/EvolvingLMMs-Lab/lmms-eval,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/tasks/longvideobench/utils.py#L114
api,https://github.com/stanford-crfm/helm,https://github.com/stanford-crfm/helm/blob/68b6aa9a01598aa0d371507c4c7299260eb9c4e6/src/helm/benchmark/run_specs/sql_run_specs.py#L34
api,https://github.com/openai/evals,https://github.com/openai/evals/blob/cdb8ce9547e68b8e5e4520b6a162294c06865c0f/evals/elsuite/multistep_web_tasks/webarena/evaluation_harness/helper_functions.py#L106
api,https://github.com/explodinggradients/ragas,https://github.com/explodinggradients/ragas/blob/5d59549ad5ef511f621502c563bc55ac5aeb9188/experimental/ragas_experimental/backends/ragas_api_client.py#L341
api,https://github.com/explodinggradients/ragas,https://github.com/explodinggradients/ragas/blob/5d59549ad5ef511f621502c563bc55ac5aeb9188/ragas/src/ragas/validation.py#L23
api,https://github.com/Marker-Inc-Korea/AutoRAG,https://github.com/Marker-Inc-Korea/AutoRAG/blob/8c72159df28006e0d6c548bbf0c133dde2650fd8/api/app.py#L486
api,https://github.com/comet-ml/opik,https://github.com/comet-ml/opik/blob/72628f77bade9dfb508cc22ce71362bb0e6ed132/sdks/python/src/opik/evaluation/metrics/models.py#L5
cli,https://github.com/Marker-Inc-Korea/AutoRAG,https://github.com/Marker-Inc-Korea/AutoRAG/blob/8c72159df28006e0d6c548bbf0c133dde2650fd8/autorag/sample_dataset/msmarco/load_msmarco_dataset.py#L36
api,https://github.com/open-compass/VLMEvalKit,https://github.com/open-compass/VLMEvalKit/blob/50c954aad1d92dab9bf5d23f62576c994b4a675f/vlmeval/vlm/ovis/utils/mdp3.py#L262
api,https://github.com/Cloud-CV/EvalAI,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/apps/participants/serializers.py#L151
api,https://github.com/EvolvingLMMs-Lab/lmms-eval,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/tasks/refcocog/utils_rec.py#L220
api,https://github.com/beir-cellar/beir,https://github.com/beir-cellar/beir/blob/6ef8c9097ebfb203ad360bd64e0cfb93e64f4a44/beir/retrieval/search/dense/faiss_search.py#L185
api,https://github.com/stanford-crfm/helm,https://github.com/stanford-crfm/helm/blob/68b6aa9a01598aa0d371507c4c7299260eb9c4e6/src/helm/benchmark/run_specs/classic_run_specs.py#L1427
api,https://github.com/Vchitect/VBench,https://github.com/Vchitect/VBench/blob/d2c30cab5497472af4798bc86f6eb47659381cb4/VBench-2.0/vbench2/third_party/YOLO-World/yolo_world/models/dense_heads/yolo_world_seg_head.py#L336
api,https://github.com/stanford-crfm/helm,https://github.com/stanford-crfm/helm/blob/68b6aa9a01598aa0d371507c4c7299260eb9c4e6/src/helm/common/key_value_store.py#L34
api,https://github.com/tensorflow/model-analysis,https://github.com/tensorflow/model-analysis/blob/b703eae15ebb46ca40923e2daa955750e3893a20/tensorflow_model_analysis/eval_metrics_graph/eval_metrics_graph.py#L201
api,https://github.com/EvolvingLMMs-Lab/lmms-eval,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/tasks/mmupd/utils.py#L71
api,https://github.com/EvolvingLMMs-Lab/lmms-eval,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/tasks/funqa/utils.py#L358
cli,https://github.com/EleutherAI/lm-evaluation-harness,https://github.com/EleutherAI/lm-evaluation-harness/blob/9f152e0b89e777a17a21e9207da2ae4c1ea8beec/lm_eval/tasks/bigbench/generate_tasks.py#L229
api,https://github.com/Giskard-AI/giskard,https://github.com/Giskard-AI/giskard/blob/6808a562cc1c565e6cf88aeb1fd1f77d28fe76ba/giskard/functions/slicing.py#L18
cli,https://github.com/pykeen/pykeen,https://github.com/pykeen/pykeen/blob/42bfa99a17ee489d0d54dc6332d5cc71fc0ded08/src/pykeen/datasets/wordnet.py#L88
api,https://github.com/pytorch/benchmark,https://github.com/pytorch/benchmark/blob/68cf9dffe5df4eedac42512dc92598fffff335ae/userbenchmark/dynamo/dynamobench/_dynamo/utils.py#L4462
api,https://github.com/pytorch/benchmark,https://github.com/pytorch/benchmark/blob/68cf9dffe5df4eedac42512dc92598fffff335ae/userbenchmark/dynamo/dynamobench/_dynamo/utils.py#L2205
cli,https://github.com/openai/evals,https://github.com/openai/evals/blob/cdb8ce9547e68b8e5e4520b6a162294c06865c0f/evals/elsuite/hr_ml_agent_bench/benchmarks/cifar10/env/train.py#L139
api,https://github.com/tensorflow/model-analysis,https://github.com/tensorflow/model-analysis/blob/b703eae15ebb46ca40923e2daa955750e3893a20/tensorflow_model_analysis/view/view_types.py#L172
api,https://github.com/confident-ai/deepeval,https://github.com/confident-ai/deepeval/blob/f296dc03b76b5fb5cc124d2dbb10367af0a5777d/deepeval/cli/main.py#L401
cli,https://github.com/stanford-crfm/helm,https://github.com/stanford-crfm/helm/blob/68b6aa9a01598aa0d371507c4c7299260eb9c4e6/src/helm/benchmark/slurm_runner.py#L362
api,https://github.com/Vchitect/VBench,https://github.com/Vchitect/VBench/blob/d2c30cab5497472af4798bc86f6eb47659381cb4/vbench2_beta_i2v/third_party/cotracker/models/core/cotracker/losses.py#L41
cli,https://github.com/pytorch/benchmark,https://github.com/pytorch/benchmark/blob/68cf9dffe5df4eedac42512dc92598fffff335ae/torchbenchmark/canary_models/diffuser_instruct_pix2pix/install.py#L18
api,https://github.com/EvolvingLMMs-Lab/lmms-eval,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/tasks/air_bench/utils.py#L166
api,https://github.com/explodinggradients/ragas,https://github.com/explodinggradients/ragas/blob/5d59549ad5ef511f621502c563bc55ac5aeb9188/ragas/src/ragas/dataset_schema.py#L270
api,https://github.com/tatsu-lab/alpaca_eval,https://github.com/tatsu-lab/alpaca_eval/blob/f19c323d8309d0d6f306bd26597db44fc6c62d57/src/alpaca_eval/plotting.py#L165
api,https://github.com/stanford-crfm/helm,https://github.com/stanford-crfm/helm/blob/68b6aa9a01598aa0d371507c4c7299260eb9c4e6/src/helm/benchmark/run_specs/instruction_following_run_specs.py#L79
cli,https://github.com/openai/evals,https://github.com/openai/evals/blob/cdb8ce9547e68b8e5e4520b6a162294c06865c0f/evals/elsuite/identifying_variables/scripts/make_plots.py#L376
api,https://github.com/stanford-crfm/helm,https://github.com/stanford-crfm/helm/blob/68b6aa9a01598aa0d371507c4c7299260eb9c4e6/src/helm/benchmark/run_specs/classic_run_specs.py#L1067
api,https://github.com/Giskard-AI/giskard,https://github.com/Giskard-AI/giskard/blob/6808a562cc1c565e6cf88aeb1fd1f77d28fe76ba/giskard/functions/transformation.py#L152
api,https://github.com/evidentlyai/evidently,https://github.com/evidentlyai/evidently/blob/609cc2afbfa28c6b37be725b9f1f61bd18136990/src/evidently/ui/service/managers/auth.py#L361
cli,https://github.com/pykeen/pykeen,https://github.com/pykeen/pykeen/blob/42bfa99a17ee489d0d54dc6332d5cc71fc0ded08/src/pykeen/datasets/countries.py#L46
cli,https://github.com/evalplus/evalplus,https://github.com/evalplus/evalplus/blob/d362e933265c3e7e3df8101c930a89c3c470cd9f/evalplus/codegen.py#L271
api,https://github.com/EvolvingLMMs-Lab/lmms-eval,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/tasks/capability/utils.py#L227
api,https://github.com/Vchitect/VBench,https://github.com/Vchitect/VBench/blob/d2c30cab5497472af4798bc86f6eb47659381cb4/VBench-2.0/vbench2/third_party/LLaVA_NeXT/llava/model/llava_arch.py#L198
cli,https://github.com/Vchitect/VBench,https://github.com/Vchitect/VBench/blob/d2c30cab5497472af4798bc86f6eb47659381cb4/VBench-2.0/vbench2/third_party/LLaVA_NeXT/playground/equal_splitter.py#L37
cli,https://github.com/pykeen/pykeen,https://github.com/pykeen/pykeen/blob/42bfa99a17ee489d0d54dc6332d5cc71fc0ded08/src/pykeen/hpo/cli.py#L53
api,https://github.com/pytorch/benchmark,https://github.com/pytorch/benchmark/blob/68cf9dffe5df4eedac42512dc92598fffff335ae/userbenchmark/dynamo/dynamobench/_dynamo/utils.py#L3887
api,https://github.com/comet-ml/opik,https://github.com/comet-ml/opik/blob/72628f77bade9dfb508cc22ce71362bb0e6ed132/apps/opik-guardrails-backend/scripts/benchmark.py#L175
api,https://github.com/truera/trulens,https://github.com/truera/trulens/blob/57df4120d19dd1a0b59efc6cccb0de205ac403e0/src/core/trulens/core/utils/python.py#L349
api,https://github.com/stanford-crfm/helm,https://github.com/stanford-crfm/helm/blob/68b6aa9a01598aa0d371507c4c7299260eb9c4e6/src/helm/benchmark/run_specs/classic_run_specs.py#L730
api,https://github.com/Cloud-CV/EvalAI,https://github.com/Cloud-CV/EvalAI/blob/8d1444f233a84f57b4a6b3db2bc7503da4cc7194/middleware/statsd/statsd_middleware.py#L13
api,https://github.com/pytorch/benchmark,https://github.com/pytorch/benchmark/blob/68cf9dffe5df4eedac42512dc92598fffff335ae/torchbenchmark/_components/model_analyzer/dcgm/dcgm_field_helpers.py#L274
api,https://github.com/stanford-crfm/helm,https://github.com/stanford-crfm/helm/blob/68b6aa9a01598aa0d371507c4c7299260eb9c4e6/src/helm/clients/audio_language/llama_omni/utils.py#L199
api,https://github.com/Vchitect/VBench,https://github.com/Vchitect/VBench/blob/d2c30cab5497472af4798bc86f6eb47659381cb4/VBench-2.0/vbench2/third_party/LLaVA_NeXT/trl/models/modeling_base.py#L541
api,https://github.com/stanford-crfm/helm,https://github.com/stanford-crfm/helm/blob/68b6aa9a01598aa0d371507c4c7299260eb9c4e6/src/helm/benchmark/run_specs/decodingtrust_run_specs.py#L200
api,https://github.com/modelscope/evalscope,https://github.com/modelscope/evalscope/blob/2a49bccc14f69b9a3464f16d4672823a0a7bcb98/evalscope/metrics/t2v_metrics/models/vqascore_models/lavis/common/utils.py#L215
api,https://github.com/stanford-crfm/helm,https://github.com/stanford-crfm/helm/blob/68b6aa9a01598aa0d371507c4c7299260eb9c4e6/src/helm/benchmark/run_specs/classic_run_specs.py#L454
api,https://github.com/EvolvingLMMs-Lab/lmms-eval,https://github.com/EvolvingLMMs-Lab/lmms-eval/blob/c4a31289c56a673aba99d2015a1db1decf5308e7/lmms_eval/tasks/mmsearch/lmms_eval_utils.py#L394
cli,https://github.com/tensorflow/model-analysis,https://github.com/tensorflow/model-analysis/blob/b703eae15ebb46ca40923e2daa955750e3893a20/tensorflow_model_analysis/evaluators/confidence_intervals_util_test.py#L328
